Collected At,Store Name,Address,Store Phone,Owner Phone,Delivery Type,Volume (L),Price per Liter (KRW),Total Price (KRW),Collected By
2023-05-14,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.4,1500,9600,Kim Jung Je
2023-05-28,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.1,1500,9150,Lee Jeong Hwa
2023-07-09,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.6,1300,7279,Kim Jung Je
2023-07-11,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.5,1600,10400,Kim Jung Je
2023-07-19,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.3,1300,8190,Lee Jeong Hwa
2023-07-22,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.9,1500,8850,Kim Jung Je
2023-09-29,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.1,1500,6149,Lee Jeong Hwa
2023-10-27,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.3,1300,5590,Choi Cheong So
2023-10-31,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,7.6,1300,9880,Choi Cheong So
2023-11-27,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.3,1600,10080,Choi Cheong So
2023-12-17,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.3,1300,5590,Choi Cheong So
2023-12-17,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.9,1300,8970,Kim Jung Je
2023-12-25,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,9.0,1600,14400,Lee Jeong Hwa
2023-12-31,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.8,1600,7680,Hong Soo Geo
2024-01-18,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.3,1300,5590,Choi Cheong So
2024-02-27,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.5,1500,12750,Kim Jung Je
2024-03-16,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.7,1600,7520,Kim Jung Je
2024-07-18,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.8,1300,11440,Lee Jeong Hwa
2024-07-24,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.3,1500,9450,Park Ji Hye
2024-07-24,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,7.7,1500,11550,Choi Cheong So
2024-07-28,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.3,1300,6890,Kim Jung Je
2024-08-11,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.8,1600,14080,Choi Cheong So
2024-08-23,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,9.1,1600,14560,Park Ji Hye
2024-09-22,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,7.9,1300,10270,Lee Jeong Hwa
2024-10-05,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.7,1300,11309,Lee Jeong Hwa
2024-10-21,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.3,1500,12450,Choi Cheong So
2024-10-29,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.0,1500,12000,Lee Jeong Hwa
2024-11-23,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.5,1600,7200,Park Ji Hye
2024-12-02,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.4,1600,7040,Lee Jeong Hwa
2024-12-06,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,9.6,1500,14400,Kim Jung Je
2024-12-17,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,6.7,1500,10050,Choi Cheong So
2025-01-16,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,8.4,1300,10920,Park Ji Hye
2025-01-29,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.0,1300,6500,Park Ji Hye
2025-02-15,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.7,1300,6110,Lee Jeong Hwa
2025-02-23,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.7,1300,7410,Hong Soo Geo
2025-02-27,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,7.7,1300,10010,Lee Jeong Hwa
2025-02-27,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.9,1300,7670,Choi Cheong So
2025-03-13,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,4.7,1500,7050,Hong Soo Geo
2025-04-12,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,5.0,1600,8000,Lee Jeong Hwa
2025-04-21,Bibimbap Bros,"Gangnam-gu, Seoul, South Korea, Store Road 48",02-7043-7868,010-5726-7105,SMALL,7.7,1500,11550,Choi Cheong So
2023-05-20,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,28.1,1300,36530,Hong Soo Geo
2023-05-25,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,41.4,1300,53820,Kim Jung Je
2023-05-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,36.1,1600,57760,Hong Soo Geo
2023-05-28,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,47.0,1600,75200,Lee Jeong Hwa
2023-06-06,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,30.4,1300,39520,Park Ji Hye
2023-06-17,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,32.0,1500,48000,Park Ji Hye
2023-06-26,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,31.8,1500,47700,Park Ji Hye
2023-06-27,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,40.0,1600,64000,Choi Cheong So
2023-07-02,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.5,1500,68250,Kim Jung Je
2023-07-18,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,42.8,1500,64199,Park Ji Hye
2023-08-04,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,35.8,1600,57279,Choi Cheong So
2023-08-06,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,45.5,1500,68250,Park Ji Hye
2023-08-20,Burger Point,"Seongbuk-gu, Seoul, South Korea, Store Road 86",02-1894-4988,010-2258-9146,LARGE,41.5,1300,53950,Park Ji Hye
